,eleve,note,groupe,quizz
65,eleve157,"28,57 %",Unknown,td1
66,eleve158,100 %,Unknown,td1
67,eleve162,"42,86 %",Unknown,td1
68,eleve159,100 %,Unknown,td1
69,eleve163,"14,29 %",Unknown,td1
70,eleve173,"42,86 %",Unknown,td1
71,eleve168,"57,14 %",Unknown,td1
72,eleve175,"71,43 %",Unknown,td1
73,eleve177,"57,14 %",Unknown,td1
74,eleve182,"42,86 %",Unknown,td1
75,eleve183,0 %,Unknown,td1
76,eleve184,"57,14 %",Unknown,td1
77,eleve185,"42,86 %",Unknown,td1
78,eleve187,"57,14 %",Unknown,td1
79,eleve181,100 %,Unknown,td1
80,eleve188,100 %,Unknown,td1
81,eleve191,"71,43 %",Unknown,td1
